protocol,method,schedule,role,target,region,r2,mae,rmse,finale,relative_finale,worste,mape,auc_error,tailmean_error,n_points
strict,KMTL-m2,811,extra_unseen,raw,decay,-6.727497043798454,0.1200988372329381,0.1278099480883998,0.0739444265536759,0.0280060771850246,0.2333173150737733,0.0443773794136671,0.1200752709702308,0.1198412640916646,340
strict,KMTL-m2,811,extra_unseen,raw,final1000,-7.344497746806635,0.1008701786528047,0.1075182046976186,0.0739444265536759,0.0280060771850246,0.2333173150737733,0.0376271637211309,0.1007625520127934,0.1008701786528045,51
strict,KMTL-m2,811,extra_unseen,raw,stable,-0.0921061852353253,0.1481738428398207,0.1806280070258021,0.1969801223179295,0.0709905651141335,0.5451882029635211,0.0500415573653863,0.1480052362772766,0.0228368085200809,1307
strict,KMTL-m3,cosine,fit,ema,full,0.9668677608725228,0.0122757793747559,0.0353334595596967,0.0021003455114332,0.0007875343094712,0.4096564007098724,0.0038406416109436,0.0121581593299589,0.0033114124542183,1647
strict,KMTL-m3,cosine,fit,ema,tail20,0.8517853272845783,0.0025435599539664,0.0032358086271793,0.0021003455114332,0.0007875343094712,0.0111390164185398,0.0009505842697753,0.0025434747173729,0.0012424074613148,330
strict,KMTL-m3,cosine,fit,ema,decay,0.8517853272845783,0.0025435599539664,0.0032358086271793,0.0021003455114332,0.0007875343094712,0.0111390164185398,0.0009505842697753,0.0025434747173729,0.0012424074613148,330
strict,KMTL-m3,cosine,fit,ema,final1000,-0.4295444727039692,0.0021022537556782,0.002673729841366,0.0021003455114332,0.0007875343094712,0.0079423086377339,0.0007877069562897,0.0020856058078399,0.0012512322765942,51
strict,KMTL-m3,cosine,fit,ema,stable,0.960809062032386,0.0147143764961382,0.0394797934753771,0.0011055136866691,0.000410466677589,0.4096564007098724,0.0045648017647671,0.0145694930761518,0.0044524607246243,1317
strict,KMTL-m3,cosine,fit,raw,full,0.9401655625364772,0.035069298258207,0.0456987948727759,0.0187115796893806,0.0070711738578017,0.2299623327066089,0.0122884422214266,0.035026198785995,0.000527111686619,1647
strict,KMTL-m3,cosine,fit,raw,tail20,0.0469333498439497,0.0311228874569905,0.0397174117898633,0.0187115796893806,0.0070711738578017,0.1382797453734667,0.011644749108912,0.0311523088880224,0.001809428482796,330
strict,KMTL-m3,cosine,fit,raw,decay,0.0469333498439497,0.0311228874569905,0.0397174117898633,0.0187115796893806,0.0070711738578017,0.1382797453734667,0.011644749108912,0.0311523088880224,0.001809428482796,330
strict,KMTL-m3,cosine,fit,raw,final1000,-0.008757748480825,0.0338074097291392,0.0430018230962902,0.0187115796893806,0.0070711738578017,0.1178546279205772,0.0127555254881718,0.033681726834753,0.0044346116767397,51
strict,KMTL-m3,cosine,fit,raw,stable,0.938789824207585,0.0360581483450722,0.0470786317298601,0.0011657450652613,0.0004328396931745,0.2299623327066089,0.012449732067387,0.0360116590108305,0.0002058022388307,1317
strict,KMTL-m3,wsd,test,ema,full,0.9276182256108964,0.0350048946164468,0.0487745123631572,0.0098083012854668,0.0036896373621782,0.4033447183882117,0.0119976136141365,0.0349006591272485,0.0290531378604099,1647
strict,KMTL-m3,wsd,test,ema,tail20,0.3669413044503734,0.0215186499344478,0.0267398383904401,0.0098083012854668,0.0036896373621782,0.0637280668728044,0.0078990172985762,0.0214767342604922,0.0215186499344475,330
strict,KMTL-m3,wsd,test,ema,decay,0.3481786486682137,0.0228754403192549,0.0287868701699622,0.0098083012854668,0.0036896373621782,0.0703679561908354,0.0083826540835989,0.0228287347038604,0.0228754403192552,340
strict,KMTL-m3,wsd,test,ema,final1000,-9.80295469934248,0.0092859451275418,0.0095594649939258,0.0098083012854668,0.0036896373621782,0.0157708866147445,0.0034880106758852,0.0093264313319276,0.0092859451275422,51
strict,KMTL-m3,wsd,test,ema,stable,0.9162983912621554,0.0381602232017913,0.0527469102547867,0.0657239320518252,0.0236617993673058,0.4033447183882117,0.0129380009441922,0.0380098601834006,0.030660190013426,1307
strict,KMTL-m3,wsd,test,raw,full,0.8954565793808382,0.0447268597405732,0.0563619041607729,0.0127972426659663,0.0048552899077475,0.2358415542515368,0.015553322742894,0.0446900512547182,0.0248495128934993,1647
