method,lambda,restart,objective,success,L0,A,C,alpha
MTL,0.993,7,1e+30,True,1.8648429313678854,52.11308051236432,0.10128790325059525,0.46012730138729413
MTL,0.993,8,1e+30,True,2.050033914243463,46.729894808295505,0.19925089307071348,0.4572627026986041
MTL,0.993,9,0.00015934850310087015,True,2.8464307755767737,16923.19692935803,0.001558472950677703,1.3696776359517535
MTL,0.993,10,0.0007094067699824197,True,1.9237330113832705,24.272227314184168,7.035901940019892e-05,0.3528174411708221
MTL,0.993,11,1e+30,True,2.5638787076527927,24.92305254008448,4.617419608534625,0.40966746828393724
MTL,0.993,12,1e+30,True,2.608780598586997,14.746800927738713,0.5746609618804381,0.33820410810947105
MTL,0.993,13,1e+30,True,2.1698875071134283,7.368584552744624,0.1634635236298626,0.1989304168095607
MTL,0.993,14,1e+30,True,2.436590217545237,468.11050096299965,0.03563739598925272,0.8221480347657538
MTL,0.993,15,1e+30,True,2.5552145205780272,28.835317643363425,0.9210598297565848,0.4299206716168261
MTL,0.993,16,0.00026720640496321696,True,2.704227406475738,193.25977581231507,0.00115887898403339,0.7548317455268704
MTL,0.993,17,0.0013356209878692838,True,1.764873362653706,16.383259857599317,0.0004932132750259176,0.2861234150681446
MTL,0.993,18,0.0005125324540602093,True,2.378111249759762,54.22618318457524,0.00043745225264334343,0.5129657538586306
MTL,0.993,19,1e+30,True,2.6103680396485665,7623.6328055557215,7.17669079898198,1.2426761307762582
MTL,0.993,20,0.00019727251809390715,True,2.862198030757082,48089.030383116406,0.0016257445905054704,1.512712503840077
MTL,0.993,21,0.0009138174231489242,True,2.457631746525983,377.6086179163218,0.000114755987471014,0.7530213963475639
MTL,0.993,22,0.00020910806695553715,True,2.866059147203007,65702.68853387651,0.00164298894211186,1.5552897570736701
MTL,0.993,23,0.004403217960978463,True,1.8264321793407943,839.094299002197,1e-10,0.7026139858161145
MTL,0.993,24,1e+30,True,2.2845247942625795,1664.2976344360698,0.2638499118801046,0.9925784593565103
MTL,0.993,25,1e+30,True,2.282418114214427,50163.94211574106,4.984860219841933,1.4853611670759277
MTL,0.993,26,1e+30,True,2.446041006061022,5.019214881070831,5.077644541317354,0.16656473393201118
MTL,0.993,27,1e+30,True,2.5768196083354358,8.265090490261084,0.5551182243310518,0.251193939292654
MTL,0.993,28,0.000995319009169784,True,2.0380247326244514,51.57944363725,1e-10,0.44761868081194306
MTL,0.993,29,0.0006799510572460724,True,1.8547115156659904,19.734799777836127,1.6563541021357757e-05,0.3236492189247178
MTL,0.993,30,1e+30,True,2.077891308483893,774.0205388524938,6.874580187550553,0.8656155930029344
MTL,0.993,31,1e+30,True,2.5962311147612387,115.04499036889793,0.6908620146007285,0.6342669134110074
MTL,0.993,32,1e+30,True,2.499619726538932,3561.4392701444017,0.02972681407546733,1.1216760722506396
MTL,0.993,33,0.026952678607825367,True,1.9862343328331007,6.225013335679596,0.0001747312516250951,0.16092067164191787
MTL,0.993,34,0.00032220953709360804,True,2.629955489998736,66.85351644655834,0.001067118434655352,0.6029340981306658
MTL,0.993,35,0.0018765185542490065,True,2.0789064282589598,200.58569510874696,1e-10,0.5927708271826121
MTL,0.993,36,0.00012290373294971044,True,2.818196506903273,4568.482994276767,0.0014427159901775934,1.190538551455137
MTL,0.993,37,1e+30,True,2.1507929980788587,150.47452335850735,0.7614904329905012,0.6340627577599448
MTL,0.993,38,1e+30,True,2.36279362483884,14.275234913736481,0.8687606305539154,0.31045548149355773
MTL,0.993,39,1e+30,True,1.9082251337564011,13.634357167538498,1.6174054954127763,0.2689853121020506
MTL,0.993,40,1e+30,True,2.1854268119925426,25911.769662398077,0.12856012576264478,1.3819479179106817
MTL,0.993,41,1e+30,True,2.5755903771066206,7.873574872993788,0.7396171071003436,0.2440480572853766
MTL,0.993,42,0.00016117350157485898,True,2.782402746804177,1485.5679364274652,0.0013115732134726654,1.0341944305174862
MTL,0.993,43,0.03264219234957207,True,2.3000503301341695,5.117454153961181,0.00010901903132211143,0.15664045708051866
MTL,0.993,44,1e+30,True,1.972469490502259,107.87412379494889,0.09019994190722003,0.5727957428464278
MTL,0.993,45,0.01862845515943838,True,2.5948671104548207,19.527492595001938,0.00010143118662788492,0.37743959369724733
MTL,0.993,46,0.0004529033106281266,True,2.001126239385203,8.400792646299312,0.0006468783960552865,0.2453186729458597
MTL,0.993,47,0.0004969118142367151,True,1.8750152001802556,10.053044701372343,0.0004678541933150894,0.25052352955703255
MTL,0.993,48,1e+30,True,2.5058427395035694,13.757099166540037,0.1786501605787554,0.31805574266154385
MTL,0.993,49,1e+30,True,1.9176732500105726,699.5000166896059,0.01767399413390056,0.839569290779077
MTL,0.995,0,1e+30,True,2.586574628754548,5.2632273680912185,6.943023830804764,0.18684709872321897
MTL,0.995,1,1e+30,True,1.8553903922488908,2321.042938550665,1.4480305549554615,1.0089690214329499
MTL,0.995,2,0.009432133653863235,True,2.2872963011314678,5.668771725423022,0.0031115679483628093,0.17038852272419755
MTL,0.995,3,0.0004944119059347736,True,2.5418153446942693,6.647402983626603,0.0009403173536189996,0.3160586202479314
MTL,0.995,4,0.018864836790117512,True,2.5424063202150853,15.473007395465283,0.00020328561985481487,0.3385734759702423
